,eps_len,eps_win,eps_score,eps_rewards,eps_max_tile
3466,83,False,59,12.00,5
3467,67,False,57,14.00,5
3468,32,False,37,9.00,4
3469,53,False,42,9.00,4
3470,114,False,73,14.00,5
3471,148,False,87,14.00,5
3472,102,False,94,14.00,5
3473,69,False,47,9.00,4
3474,85,True,97,20.00,6
3475,89,False,55,14.00,5
3476,122,False,87,14.00,5
3477,44,False,33,9.00,4
3478,76,False,67,12.00,5
3479,90,True,91,20.00,6
3480,197,True,123,20.00,6
3481,103,True,108,20.00,6
3482,199,False,82,14.00,5
3483,51,False,37,7.00,4
3484,66,False,74,14.00,5
3485,53,False,62,14.00,5
3486,80,False,57,9.00,4
3487,100,False,71,14.00,5
3488,91,False,81,12.00,5
3489,59,False,66,14.00,5
3490,75,False,52,9.00,4
3491,72,True,91,20.00,6
3492,190,False,52,14.00,5
3493,46,False,45,9.00,4
3494,98,False,85,14.00,5
3495,82,True,107,18.00,6
3496,97,False,69,14.00,5
3497,349,True,109,20.00,6
3498,96,False,73,14.00,5
3499,60,True,87,20.00,6
3500,68,False,75,14.00,5
3501,85,False,76,14.00,5
3502,191,False,107,14.00,5
3503,61,False,66,14.00,5
3504,52,True,96,20.00,6
3505,72,True,102,20.00,6
3506,93,False,80,14.00,5
3507,51,False,39,9.00,4
3508,51,False,70,14.00,5
3509,84,False,108,14.00,5
3510,84,False,74,14.00,5
3511,52,False,31,9.00,4
3512,119,False,72,14.00,5
3513,78,False,56,9.00,4
3514,44,False,48,9.00,4
3515,28,False,39,7.00,4
3516,125,True,87,20.00,6
3517,138,False,84,14.00,5
3518,72,False,66,14.00,5
3519,46,False,44,9.00,4
3520,31,False,35,9.00,4
3521,126,False,98,14.00,5
3522,66,False,73,14.00,5
3523,37,False,31,9.00,4
3524,126,False,95,14.00,5
3525,103,False,90,14.00,5
3526,84,True,92,20.00,6
3527,95,True,112,20.00,6
3528,49,False,58,14.00,5
3529,55,False,43,9.00,4
3530,98,False,96,14.00,5
3531,50,False,74,14.00,5
3532,69,False,62,12.00,5
3533,81,False,52,9.00,4
3534,107,False,83,14.00,5
3535,134,False,76,14.00,5
3536,54,False,64,14.00,5
3537,58,False,71,12.00,5
3538,79,True,98,20.00,6
3539,69,False,71,14.00,5
3540,105,False,77,14.00,5
3541,81,False,78,14.00,5
3542,84,True,109,20.00,6
3543,98,False,69,14.00,5
3544,50,True,89,20.00,6
3545,23,False,25,9.00,4
3546,18,False,11,5.00,3
3547,80,False,80,14.00,5
3548,84,False,73,14.00,5
3549,93,False,73,14.00,5
3550,78,False,46,7.00,4
3551,47,False,50,9.00,4
3552,63,False,61,9.00,4
3553,151,True,96,20.00,6
3554,49,False,70,14.00,5
3555,221,False,32,9.00,4
3556,62,False,90,14.00,5
3557,46,False,39,9.00,4
3558,47,False,45,9.00,4
3559,68,False,50,9.00,4
3560,36,False,39,9.00,4
3561,89,False,73,14.00,5
3562,54,False,62,14.00,5
3563,109,True,105,20.00,6
3564,96,False,76,14.00,5
3565,115,True,97,20.00,6
3566,82,True,114,20.00,6
3567,103,False,76,14.00,5
3568,113,False,113,12.00,5
3569,26,False,26,3.00,3
3570,38,False,46,9.00,4
3571,66,True,91,20.00,6
3572,771,False,74,14.00,5
3573,37,False,25,9.00,4
3574,33,False,34,9.00,4
3575,694,False,58,14.00,5
3576,94,False,78,14.00,5
3577,266,False,92,14.00,5
