,eps_len,eps_win,eps_score,eps_rewards,eps_max_tile
306,37,False,60,9.00,5
307,30,False,37,3.50,4
308,22,False,26,1.50,3
309,40,False,67,15.50,5
310,41,False,51,8.00,5
311,46,False,87,16.00,5
312,58,True,95,18.50,6
313,36,False,38,1.00,4
314,48,False,75,10.50,5
315,36,False,41,1.50,4
316,18,False,13,1.00,3
317,18,False,16,1.50,3
318,46,False,78,21.00,5
319,42,False,57,7.00,4
320,55,False,70,8.50,5
321,37,False,62,12.50,5
322,46,False,78,15.00,5
323,33,False,57,16.50,5
324,18,False,16,1.50,3
325,52,False,76,14.00,5
326,36,False,65,13.50,5
327,42,False,41,1.50,4
328,44,False,67,16.50,5
329,42,False,58,15.50,5
330,27,False,41,6.00,4
331,62,False,69,2.00,5
332,67,True,100,12.50,6
333,62,False,90,8.50,5
334,42,False,72,11.50,5
335,48,False,75,10.50,5
336,46,False,58,7.00,5
337,66,False,103,16.00,5
338,25,False,30,7.50,4
339,31,False,37,6.00,4
340,40,False,62,11.00,5
341,24,False,28,1.00,3
342,46,True,89,20.50,6
343,23,False,20,0.00,3
344,53,False,69,5.50,5
345,50,False,79,9.00,5
346,49,False,83,17.00,5
347,50,False,82,13.50,5
348,49,False,78,13.50,5
349,43,False,57,8.50,5
350,27,False,34,4.50,4
351,23,False,26,1.00,3
352,61,True,101,11.00,6
353,31,False,53,10.50,5
354,52,False,72,13.50,5
355,43,False,64,12.50,5
356,29,False,46,8.50,4
357,31,False,46,4.50,4
358,23,False,23,0.50,3
359,52,False,87,15.50,5
360,54,False,83,14.50,5
361,27,False,35,4.50,4
362,40,False,59,13.50,5
363,57,False,80,2.50,5
364,29,False,37,4.00,4
365,30,False,52,12.00,4
366,59,True,100,16.00,6
367,32,False,42,3.50,4
368,33,False,57,13.50,5
369,66,False,100,15.00,5
370,28,False,37,4.50,4
371,37,False,57,7.00,4
372,26,False,35,8.00,4
373,45,False,69,10.50,5
374,35,False,49,7.50,5
375,43,False,78,19.00,5
376,38,False,55,13.50,5
377,39,False,58,7.50,5
378,48,False,78,13.50,5
379,49,False,73,9.50,5
380,55,True,98,14.50,6
381,28,False,31,3.50,4
382,53,False,84,12.50,5
383,40,False,68,18.50,5
384,28,False,32,6.50,4
385,59,False,75,5.00,5
386,54,False,76,9.50,5
387,61,True,98,12.50,6
388,43,True,93,23.00,6
389,31,False,34,5.50,4
390,46,False,80,15.00,5
391,44,False,75,15.50,5
392,41,True,94,23.50,6
393,46,False,88,15.00,5
394,43,False,58,5.50,5
395,33,False,39,5.50,4
396,41,True,86,21.50,6
397,39,False,69,13.00,5
398,24,False,37,6.50,4
399,38,False,57,8.00,5
400,30,False,39,7.00,4
401,60,False,93,7.50,5
402,40,True,91,19.50,6
403,26,False,30,7.00,4
404,33,False,50,7.50,4
405,49,False,64,7.00,5
406,35,False,43,5.00,4
407,49,False,74,5.50,5
408,45,False,69,13.50,5
409,31,False,44,10.00,4
410,35,False,64,16.50,5
411,39,False,64,9.00,5
412,49,False,88,15.00,5
413,27,False,38,5.50,4
414,31,False,47,12.50,5
415,33,False,46,3.50,4
416,40,False,67,12.00,5
417,46,False,73,13.00,5
418,37,False,65,19.50,5
419,17,False,20,6.50,4
420,32,False,43,7.00,4
421,39,False,54,5.50,4
422,32,False,42,3.50,4
423,39,False,62,11.50,5
424,53,False,81,11.50,5
425,50,True,97,16.00,6
426,14,False,9,2.00,3
427,52,False,56,0.50,5
428,26,False,39,9.00,4
429,39,False,41,0.00,4
430,48,False,76,10.50,5
431,40,False,71,22.50,5
432,39,False,68,12.50,5
433,34,False,49,4.00,4
434,28,False,41,8.50,4
435,30,False,36,3.50,4
436,30,False,35,3.00,4
437,45,False,76,12.00,5
438,36,False,44,2.00,4
439,42,False,55,8.50,5
440,36,False,54,11.00,5
441,47,True,89,26.50,6
442,29,False,36,4.00,4
443,38,False,47,4.50,4
444,38,False,55,13.50,5
445,21,False,23,8.00,4
446,55,True,102,22.00,6
447,43,True,91,22.50,6
448,18,False,17,1.50,3
449,45,False,77,15.50,5
450,62,False,89,9.00,5
451,48,False,82,14.50,5
452,30,False,34,3.00,4
453,36,False,41,4.50,4
454,17,False,19,2.50,3
455,33,False,40,5.50,4
456,43,False,75,19.00,5
457,45,False,69,9.50,5
458,38,False,50,5.00,4
459,56,True,105,15.00,6
460,25,False,28,4.00,4
461,26,False,27,6.50,4
462,29,False,35,6.50,4
463,40,False,60,10.50,5
464,30,False,34,3.00,4
465,24,False,32,5.50,4
466,34,False,36,1.00,4
467,32,False,38,5.50,4
468,44,False,65,12.50,5
469,54,True,98,21.50,6
470,52,True,97,19.00,6
471,47,False,68,15.50,5
472,50,True,94,22.00,6
473,33,False,48,7.00,4
474,48,False,70,15.50,5
475,34,False,43,2.50,4
476,41,False,66,18.00,5
477,40,False,52,7.50,4
478,28,False,31,6.50,4
479,42,False,59,12.50,5
480,56,False,80,10.00,5
481,37,False,39,0.50,4
482,55,False,82,10.00,5
483,40,False,62,7.50,5
484,33,False,50,12.00,5
485,54,False,76,7.50,5
486,41,False,64,10.50,5
487,49,False,64,7.50,5
488,47,False,72,13.00,5
489,47,False,65,11.00,5
490,32,False,38,2.50,4
491,45,True,93,18.50,6
492,58,False,78,12.00,5
493,36,False,44,1.50,4
494,46,True,95,25.50,6
495,53,True,91,19.50,6
496,51,False,91,17.50,5
497,29,False,39,4.00,4
498,19,False,18,1.50,3
499,41,False,62,17.00,5
500,16,False,16,2.50,3
501,55,False,82,14.00,5
502,43,False,71,12.00,5
503,46,False,72,13.00,5
504,24,False,32,8.50,4
505,43,False,74,15.50,5
506,38,False,64,15.00,5
507,20,False,19,1.00,3
508,43,False,52,3.00,4
509,40,False,67,11.50,5
510,60,True,102,18.50,6
511,29,False,41,8.00,4
512,28,False,37,7.50,4
513,62,False,84,11.00,5
514,50,True,89,19.00,6
515,47,False,71,13.00,5
516,54,False,79,7.50,5
517,32,False,36,5.50,4
518,37,False,41,4.00,4
519,43,True,89,19.00,6
520,40,False,50,7.00,4
521,35,False,52,11.00,5
522,49,False,73,8.50,5
523,36,False,58,12.00,5
524,54,False,82,10.50,5
525,27,False,23,-1.50,3
526,43,False,75,16.00,5
527,45,True,88,21.50,6
528,30,False,36,3.50,4
529,50,True,104,25.00,6
530,55,False,73,2.50,5
531,65,True,106,22.00,6
532,41,False,34,0.50,4
533,31,False,41,4.00,4
534,35,False,37,1.00,4
535,43,False,75,13.00,5
536,42,False,61,10.50,5
537,63,False,92,4.50,5
538,43,False,40,-2.50,4
539,46,False,57,10.50,5
